Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
"Nori, Narratore di Racconti",hob,The Hobbit,161,normal,common,1,115076,b05adb48-980c-49a0-9ce6-7c7f3f20715d,0.06,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
"Nori, Narratore di Racconti",hob,The Hobbit,161,normal,common,1,115076,b05adb48-980c-49a0-9ce6-7c7f3f20715d,0.06,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
Glóin il Potente // Easy Pickings,hob,The Hobbit,99,normal,uncommon,1,115023,5793b8eb-2fc5-454d-8fa2-20346fef167a,0.13,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
Difensore dei Colli Ferrosi,hob,The Hobbit,102,normal,common,1,115172,46daa9ac-0ac7-4df9-b9d2-e03ab5b56c72,0.04,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
Voto a Erebor,hob,The Hobbit,31,normal,common,1,115210,8d4f3eb5-fedf-45d6-8bd8-aacbe0ce33b2,0.04,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
Mastro Tessitore del Bosco,hob,The Hobbit,143,normal,uncommon,1,115034,fe2b4bcf-56de-44d3-83af-aeb27f82c25e,0.13,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
Elfi dei Boschi,hob,The Hobbit,142,normal,common,1,112913,2476e42b-b209-4207-8ed9-cb668f89b218,0.06,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
Arpista del Re degli Elfi,hob,The Hobbit,38,normal,common,1,115214,9c50656d-c74a-4e90-9ef7-afa237682516,0.04,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
"Gandalf, Mago Errante",hob,The Hobbit,41,normal,common,1,115043,1f8403a2-849c-4a59-b0ed-c8803995028d,0.07,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
"Bilbo Baggins, Scassinatore // Take a Glance",hob,The Hobbit,34,normal,common,1,115057,6a109b3e-9f5b-4625-abb7-6b992c10530b,0.06,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
Salvataggio dell'Aquila,hob,The Hobbit,155,normal,uncommon,1,115015,12c8f2cc-ac9d-4cf6-9025-efe366b4e07f,0.04,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
"Gollum, Sgattaiolatore Silente // Meager Meal",hob,The Hobbit,71,normal,common,1,115060,6cfaa182-3fec-4907-8814-b4d29c33cec3,0.05,false,false,near_mint,it,EUR,2026-09-15T07:45:01.443873Z
