Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Tremor,8ED,Eighth Edition,228,normal,common,1,30308,7d47f27d-5a25-4d2a-b2a2-027b579b881b,0.12,false,false,near_mint,it,EUR,2026-09-12T21:34:01.242Z
Nausea,8ED,Eighth Edition,148,normal,common,1,30388,358efb1e-0366-4943-9a25-6a356e48773c,0.16,false,false,near_mint,it,EUR,2026-09-12T21:35:13.164Z
Urza's Tower,9ED,Ninth Edition,329,normal,uncommon,1,28034,513e063c-b328-4e5f-8806-b232c38645f5,0.76,false,false,near_mint,it,EUR,2026-09-12T21:35:13.165Z
